,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,avg_cost_price
0,Maruti,Alto,9.0,120000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,1.2,4.112027027027027
1,Hyundai,Grand,5.0,20000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,5.5,7.295
2,Hyundai,i20,11.0,60000.0,Individual,Petrol,Manual,17.0,1197.0,80.0,5.0,2.15,10.810042134831459
3,Maruti,Alto,9.0,37000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5.0,2.26,4.112027027027027
4,Ford,Ecosport,6.0,30000.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5.0,5.7,11.965
5,Maruti,Wagon R,8.0,35000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,3.5,6.05
6,Hyundai,i10,8.0,40000.0,Dealer,Petrol,Manual,20.36,1197.0,78.9,5.0,3.15,6.585
7,Maruti,Wagon R,3.0,17512.0,Dealer,Petrol,Manual,20.51,998.0,67.04,5.0,4.1,6.135
8,Hyundai,Venue,2.0,20000.0,Individual,Petrol,Automatic,18.15,998.0,118.35,5.0,10.5,10.36
12,Maruti,Swift,4.0,28321.0,Dealer,Petrol,Manual,16.6,1197.0,85.0,5.0,5.11,7.81
14,Hyundai,Verna,8.0,65278.0,Dealer,Diesel,Manual,22.32,1582.0,126.32,5.0,4.25,15.69
15,Renault,Duster,5.0,50000.0,Individual,Diesel,Manual,19.64,1461.0,108.45,5.0,7.5,14.16888888888889
17,Maruti,Ciaz,5.0,76000.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5.0,6.5,11.595719424460432
18,Maruti,Swift,5.0,20000.0,Individual,Diesel,Manual,25.2,1248.0,74.0,5.0,6.27,7.746715686274511
20,Maruti,Swift,7.0,62200.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5.0,4.25,7.746715686274511
21,Toyota,Innova,8.0,110000.0,Individual,Diesel,Manual,12.99,2494.0,100.6,8.0,6.05,24.848359375
22,Maruti,Baleno,6.0,20000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5.0,6.0,8.675
23,Maruti,Swift Dzire,5.0,40000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,5.75,8.69
25,Volkswagen,Vento,8.0,47000.0,Dealer,Petrol,Manual,16.09,1598.0,103.2,5.0,4.25,13.099999999999998
26,Maruti,Alto,8.0,25000.0,Dealer,Petrol,Manual,20.92,998.0,67.1,5.0,2.3,4.112027027027027
27,Hyundai,Creta,2.0,15000.0,Individual,Diesel,Manual,19.67,1582.0,126.2,5.0,12.25,14.625
29,Honda,City,6.0,50000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5.0,7.5,14.465
30,Mahindra,Bolero,10.0,25000.0,Individual,Diesel,Manual,13.6,2523.0,63.0,7.0,3.5,9.87
31,Maruti,Swift Dzire,6.0,90000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,6.0,8.329472891566265
32,Maruti,Swift Dzire,8.0,45000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5.0,3.9,8.329472891566265
33,Honda,City,14.0,77253.0,Dealer,Petrol,Manual,17.7,1497.0,78.0,5.0,1.45,14.74
34,Hyundai,i20,3.0,25000.0,Individual,Petrol,Manual,17.19,1197.0,81.86,5.0,7.0,10.810042134831459
36,Renault,KWID,4.0,30000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5.0,3.4,5.05
37,Honda,Amaze,5.0,39993.0,Dealer,Petrol,Manual,18.6,1199.0,88.76,5.0,4.65,8.47
38,Hyundai,Santro,12.0,80000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5.0,1.25,6.376
39,Mahindra,XUV500,9.0,185000.0,Individual,Diesel,Manual,15.1,2179.0,140.0,7.0,6.0,19.975
40,Maruti,Swift Dzire,8.0,90000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5.0,3.8,8.329472891566265
44,Hyundai,i20,3.0,15000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,8.5,10.810042134831459
45,Hyundai,i20,3.0,40000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.98,10.145
46,Honda,City,6.0,31180.0,Dealer,Petrol,Automatic,18.0,1497.0,117.3,5.0,7.0,14.74
50,Maruti,Swift Dzire,7.0,56000.0,Dealer,Diesel,Manual,23.4,1248.0,74.0,5.0,4.1,8.329472891566265
54,Maruti,Baleno,5.0,52427.0,Dealer,Petrol,Automatic,21.4,1197.0,83.1,5.0,5.9,8.55
55,Mahindra,Bolero,1.0,40000.0,Individual,Diesel,Manual,21.0,1498.0,74.96,7.0,8.5,9.7
57,Mahindra,KUV100,3.0,17000.0,Individual,Petrol,Manual,18.15,1198.0,82.0,5.0,5.5,7.815
59,Maruti,Baleno,5.0,22000.0,Dealer,Petrol,Manual,15.4,1590.0,94.0,5.0,6.25,8.675
60,Maruti,Swift Dzire,5.0,54000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,6.0,8.69
61,Maruti,Wagon R,2.0,10000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,4.45,5.95
62,Maruti,Ignis,2.0,20000.0,Individual,Petrol,Manual,20.89,1197.0,81.8,5.0,5.3,7.165
64,Maruti,Wagon R,3.0,53237.0,Trustmark Dealer,CNG,Manual,26.6,998.0,58.16,5.0,4.1,6.005
65,Datsun,RediGO,3.0,27263.0,Individual,Petrol,Manual,22.5,999.0,68.0,5.0,3.5,4.395
67,Hyundai,Verna,7.0,110000.0,Individual,Diesel,Manual,22.32,1582.0,126.3,5.0,5.2,15.465
68,Hyundai,i20,5.0,70000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,7.5,11.21
69,Maruti,Swift Dzire,4.0,70000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5.0,5.6,8.329472891566265
72,Hyundai,i20,2.0,39000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,6.55,10.72
73,Hyundai,Santro,14.0,56000.0,Dealer,Petrol,Manual,17.8,1086.0,63.0,5.0,1.25,6.376
76,Hyundai,i20,3.0,34000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5.0,5.5,10.475
77,Mahindra,Scorpio,4.0,50000.0,Individual,Diesel,Manual,15.4,1997.0,120.0,7.0,11.5,17.51
78,Volkswagen,Vento,9.0,77400.0,Individual,Diesel,Manual,20.54,1598.0,103.6,5.0,5.0,13.294659090909091
79,Mahindra,Marazzo,2.0,36000.0,Individual,Diesel,Manual,17.3,1497.0,121.0,7.0,9.9,15.16
80,Hyundai,Verna,8.0,47876.0,Dealer,Diesel,Manual,25.0,1493.0,113.42,5.0,5.51,15.455
81,Mahindra,XUV500,3.0,21500.0,Individual,Diesel,Automatic,15.1,2179.0,152.87,7.0,16.5,19.91
82,Hyundai,Grand,6.0,75000.0,Dealer,Diesel,Manual,24.0,1120.0,70.0,5.0,3.5,7.071195054945055
83,Ford,Aspire,4.0,58000.0,Dealer,Petrol,Manual,18.16,1196.0,86.8,5.0,5.0,7.775
84,Maruti,Swift Dzire,3.0,30000.0,Individual,Petrol,Manual,21.21,1197.0,81.8,5.0,5.75,8.555
85,Hyundai,Grand,3.0,50000.0,Individual,Diesel,Manual,24.0,1186.0,73.97,5.0,5.45,7.071195054945055
86,Ford,Figo,4.0,19093.0,Trustmark Dealer,Petrol,Manual,18.16,1196.0,86.8,5.0,5.25,6.965
87,Honda,Amaze,7.0,50000.0,Individual,Petrol,Manual,18.0,1198.0,86.7,5.0,4.0,8.435
88,Maruti,Wagon R,15.0,37000.0,Dealer,Petrol,Manual,14.0,1061.0,64.0,5.0,1.55,6.05
90,Maruti,Swift Dzire,5.0,47000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5.0,5.45,8.329472891566265
91,Honda,City,8.0,70000.0,Individual,Petrol,Manual,16.8,1497.0,116.3,5.0,5.45,15.29
92,Renault,KWID,5.0,25000.0,Individual,Petrol,Manual,25.17,799.0,53.3,5.0,2.4,4.855
93,Maruti,Vitara,3.0,26000.0,Dealer,Diesel,Manual,24.3,1248.0,88.5,5.0,7.25,10.815
94,Ford,Aspire,4.0,30000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5.0,4.8,7.65
95,Hyundai,i20,8.0,15000.0,Individual,Petrol,Manual,18.5,1197.0,82.9,5.0,3.75,10.475
96,Maruti,Swift,10.0,160000.0,Individual,Diesel,Manual,17.8,1248.0,75.0,5.0,2.25,7.746715686274511
97,Tata,Tiago,4.0,32100.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5.0,4.0,6.76
98,Hyundai,i20,5.0,22000.0,Dealer,Petrol,Manual,18.5,1197.0,82.9,5.0,5.5,10.72
99,Mahindra,Scorpio,5.0,44000.0,Dealer,Diesel,Manual,15.4,2179.0,120.0,7.0,10.5,17.309853556485354
100,Volkswagen,Polo,5.0,78000.0,Dealer,Petrol,Manual,18.78,1198.0,74.0,5.0,4.5,9.065
102,Maruti,Wagon R,7.0,37000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5.0,3.5,6.05
103,Honda,City,7.0,69000.0,Dealer,Diesel,Manual,25.1,1498.0,98.6,5.0,5.5,16.17
104,Kia,Seltos,2.0,12120.0,Individual,Petrol,Manual,16.8,1497.0,113.4,5.0,10.8,15.195
